Name,preferred_name,catalog_name_normalized,RAJ2000,DEJ2000,Band,h,e_h,z0,e_z0,z0_over_h,h_over_z0,S0,e_S0,gradz0,mag,B/T,Type,RV,AName,NED,thickness_flag,biz_name,biz_name_norm,biz_catalog_token,RA_match_deg,DE_match_deg,biz_aname_norm,biz_aname_token,biz_ned_norm,biz_ned_token,matched,match_reason,matched_sparc_name,matched_sparc_index,matched_sep_deg
EON_0.680_33.131,PGC2024213,PGC2024213,0.680029,33.131416,r,4.52,0.04,1.76,0.13,0.3893805309734514,2.568181818181818,20.44,0.12,0.065,15.27,0.19,SB,,PGC2024213,NED,thick_like,PGC2024213,PGC2024213,PGC2024213,0.680029,33.131416,PGC2024213,PGC2024213,NED,,False,unmatched,,,
EON_0.689_31.461,NED,,0.688804,31.461485,r,4.23,0.43,1.18,0.17,0.2789598108747044,3.584745762711865,22.7,0.24,0.195,17.7,0.07,SB,,,NED,thick_like,NED,NED,,0.688804,31.461485,,,NED,,False,unmatched,,,
EON_0.830_27.851,PGC1819666,PGC1819666,0.829738,27.850815,r,6.07,0.33,1.47,0.1,0.2421746293245469,4.129251700680272,21.96,0.26,0.026,16.48,0.14,SC,,PGC1819666,NED,thick_like,PGC1819666,PGC1819666,PGC1819666,0.829738,27.850815,PGC1819666,PGC1819666,NED,,False,unmatched,,,
EON_0.855_24.133,NED,,0.854554,24.132711,r,4.53,0.1,1.39,0.13,0.3068432671081677,3.2589928057553963,22.39,0.13,-0.023,17.09,0.07,SC,,,NED,thick_like,NED,NED,,0.854554,24.132711,,,NED,,False,unmatched,,,
EON_0.935_30.192,PGC1893913,PGC1893913,0.935497,30.192247,r,4.47,0.47,1.07,0.1,0.2393736017897092,4.177570093457944,21.97,0.3,-0.002,17.12,0.11,SB,,PGC1893913,NED,thick_like,PGC1893913,PGC1893913,PGC1893913,0.935497,30.192247,PGC1893913,PGC1893913,NED,,False,unmatched,,,
EON_1.081_-6.193,PGC90450,PGC90450,1.08124,-6.193389,r,6.0,0.05,1.58,0.22,0.2633333333333333,3.79746835443038,21.84,0.17,-0.025,16.05,0.09,SB,25257.0,PGC090450,NED,thick_like,PGC90450,PGC90450,PGC90450,1.08124,-6.193389,PGC090450,PGC90450,NED,,False,unmatched,,,
EON_1.124_8.079,PGC1338462,PGC1338462,1.123737,8.07944,r,3.74,0.05,1.7,0.23,0.4545454545454545,2.2,21.13,0.18,0.036,16.52,0.1,SB,,PGC1338462,NED,thick_like,PGC1338462,PGC1338462,PGC1338462,1.123737,8.07944,PGC1338462,PGC1338462,NED,,False,unmatched,,,
EON_1.161_25.675,PGC1745323,PGC1745323,1.161462,25.675274,r,4.16,0.24,1.37,0.15,0.3293269230769231,3.036496350364964,21.24,0.26,0.101,16.28,0.11,SC,,PGC1745323,NED,thick_like,PGC1745323,PGC1745323,PGC1745323,1.161462,25.675274,PGC1745323,PGC1745323,NED,,False,unmatched,,,
EON_1.251_4.507,PGC90452,PGC90452,1.25126,4.506516,r,8.01,0.16,1.12,0.08,0.1398252184769038,7.1517857142857135,22.77,0.21,-0.041,16.81,0.09,SB,,PGC090452,NED,intermediate,PGC90452,PGC90452,PGC90452,1.25126,4.506516,PGC090452,PGC90452,NED,,False,unmatched,,,
EON_1.354_7.465,NED,,1.35392,7.464624,r,4.29,0.05,1.29,0.08,0.3006993006993007,3.3255813953488373,21.31,0.18,0.008,16.67,0.09,SC,,,NED,thick_like,NED,NED,,1.35392,7.464624,,,NED,,False,unmatched,,,
EON_1.377_-9.950,PGC984316,PGC984316,1.376796,-9.950334,r,5.91,0.1,1.33,0.15,0.2250423011844331,4.443609022556391,22.64,0.22,-0.13,17.01,0.05,SD,16482.0,PGC984316,NED,thick_like,PGC984316,PGC984316,PGC984316,1.376796,-9.950334,PGC984316,PGC984316,NED,,False,unmatched,,,
EON_1.381_-2.892,PGC1080508,PGC1080508,1.381093,-2.891589,r,4.77,0.11,0.78,0.08,0.1635220125786163,6.115384615384615,22.06,0.14,-0.059,16.83,0.09,SC,,PGC1080508,NED,intermediate,PGC1080508,PGC1080508,PGC1080508,1.381093,-2.891589,PGC1080508,PGC1080508,NED,,False,unmatched,,,
EON_1.386_8.738,PGC1352786,PGC1352786,1.385511,8.737666,r,6.05,0.26,1.75,0.13,0.2892561983471075,3.457142857142857,22.12,0.08,-0.09,16.14,0.08,SC,,PGC1352786,NED,thick_like,PGC1352786,PGC1352786,PGC1352786,1.385511,8.737666,PGC1352786,PGC1352786,NED,,False,unmatched,,,
EON_1.427_-11.180,PGC968997,PGC968997,1.427206,-11.180237,r,6.96,1.19,1.42,0.23,0.2040229885057471,4.901408450704226,23.36,0.4,0.029,17.03,0.07,SC,11997.0,PGC968997,NED,thick_like,PGC968997,PGC968997,PGC968997,1.427206,-11.180237,PGC968997,PGC968997,NED,,False,unmatched,,,
EON_1.583_-9.462,PGC990749,PGC990749,1.582847,-9.462467,r,4.22,0.25,1.81,0.24,0.4289099526066351,2.331491712707182,21.18,0.24,0.076,16.29,0.1,SC,16648.0,PGC990749,NED,thick_like,PGC990749,PGC990749,PGC990749,1.582847,-9.462467,PGC990749,PGC990749,NED,,False,unmatched,,,
EON_1.622_14.182,PGC1451356,PGC1451356,1.622053,14.182354,r,7.33,0.12,1.57,0.12,0.2141882673942701,4.6687898089171975,21.56,0.14,-0.065,15.8,0.06,SD,5325.0,PGC1451356,NED,thick_like,PGC1451356,PGC1451356,PGC1451356,1.622053,14.182354,PGC1451356,PGC1451356,NED,,False,unmatched,,,
EON_1.659_17.284,UGC00047,UGC00047,1.658795,17.284151,r,13.73,0.71,3.15,0.51,0.2294246176256373,4.358730158730159,23.82,0.17,-0.106,16.62,0.03,IR,873.0,UGC00047,NED,thick_like,UGC00047,UGC00047,UGC47,1.658795,17.284151,UGC00047,UGC47,NED,,False,unmatched,,,
EON_1.784_25.115,PGC1725914,PGC1725914,1.783559,25.115232,r,4.33,0.06,1.37,0.12,0.3163972286374134,3.1605839416058394,20.72,0.19,0.075,15.73,0.21,SB,,PGC1725914,NED,thick_like,PGC1725914,PGC1725914,PGC1725914,1.783559,25.115232,PGC1725914,PGC1725914,NED,,False,unmatched,,,
EON_1.815_33.918,PGC566,PGC566,1.814582,33.917542,r,8.1,0.08,2.35,0.15,0.2901234567901234,3.4468085106382977,21.53,0.16,0.036,15.34,0.07,SC,,PGC000566,NED,thick_like,PGC566,PGC566,PGC566,1.814582,33.917542,PGC000566,PGC566,NED,,False,unmatched,,,
EON_1.852_8.374,PGC212468,PGC212468,1.851756,8.373794,r,4.32,0.06,2.04,0.29,0.4722222222222222,2.117647058823529,20.11,0.22,0.189,14.66,0.49,SA,,PGC212468,NED,thick_like,PGC212468,PGC212468,PGC212468,1.851756,8.373794,PGC212468,PGC212468,NED,,False,unmatched,,,
EON_1.919_24.801,PGC1716792,PGC1716792,1.918513,24.801214,r,3.87,0.04,1.91,0.19,0.4935400516795865,2.026178010471204,20.29,0.15,0.084,15.54,0.18,SC,,PGC1716792,NED,thick_like,PGC1716792,PGC1716792,PGC1716792,1.918513,24.801214,PGC1716792,PGC1716792,NED,,False,unmatched,,,
EON_2.070_8.226,NED,,2.070027,8.225907,r,5.34,0.32,1.31,0.17,0.2453183520599251,4.076335877862595,22.71,0.13,-0.226,17.17,0.05,SC,,,NED,thick_like,NED,NED,,2.070027,8.225907,,,NED,,False,unmatched,,,
EON_2.100_33.028,PGC90453,PGC90453,2.100091,33.02813,r,9.36,0.68,2.16,0.26,0.2307692307692308,4.333333333333333,22.92,0.23,0.138,16.33,0.06,SC,4954.0,PGC090453,NED,thick_like,PGC90453,PGC90453,PGC90453,2.100091,33.02813,PGC090453,PGC90453,NED,,False,unmatched,,,
EON_2.110_0.369,SDSSJ000826.52+002208.9,,2.110474,0.369248,r,4.7,0.43,1.19,0.1,0.2531914893617021,3.949579831932773,22.06,0.21,-0.147,17.32,0.06,SC,16398.0,SDSSJ000826.52+002208.9,NED,thick_like,SDSSJ000826.52+002208.9,SDSSJ000826.52+002208.9,,2.110474,0.369248,SDSSJ000826.52+002208.9,,NED,,False,unmatched,,,
EON_2.177_37.448,NGC00011,NGC00011,2.176961,37.447861,r,11.19,0.04,3.48,0.55,0.3109919571045576,3.21551724137931,20.28,0.21,-0.206,13.11,0.19,SB,4389.0,NGC0011,NED,thick_like,NGC00011,NGC00011,NGC11,2.176961,37.447861,NGC0011,NGC11,NED,,False,unmatched,,,
EON_2.190_-4.633,PGC90454,PGC90454,2.190198,-4.632575,r,7.96,0.54,1.53,0.12,0.1922110552763819,5.202614379084968,22.63,0.2,0.014,16.66,0.06,SD,,PGC090454,NED,intermediate,PGC90454,PGC90454,PGC90454,2.190198,-4.632575,PGC090454,PGC90454,NED,,False,unmatched,,,
EON_2.203_4.456,PGC90455,PGC90455,2.202895,4.456114,r,4.84,0.06,1.86,0.23,0.3842975206611571,2.6021505376344085,21.63,0.24,-0.091,16.59,0.07,SC,,PGC090455,NED,thick_like,PGC90455,PGC90455,PGC90455,2.202895,4.456114,PGC090455,PGC90455,NED,,False,unmatched,,,
EON_2.263_15.645,SDSSJ000903.08+153842.7,,2.26288,15.645201,r,4.88,0.23,0.85,0.12,0.1741803278688524,5.741176470588235,22.43,0.17,-0.012,17.49,0.05,SD,15578.0,SDSSJ000903.08+153842.7,NED,intermediate,SDSSJ000903.08+153842.7,SDSSJ000903.08+153842.7,,2.26288,15.645201,SDSSJ000903.08+153842.7,,NED,,False,unmatched,,,
EON_2.331_0.599,UGC00083,UGC00083,2.331449,0.59924,r,5.5,0.11,1.71,0.18,0.3109090909090909,3.216374269005848,21.38,0.2,0.071,15.68,0.19,SB,17989.0,UGC00083,NED,thick_like,UGC00083,UGC00083,UGC83,2.331449,0.59924,UGC00083,UGC83,NED,,False,unmatched,,,
EON_2.351_0.538,SDSSJ000924.18+003216.2,,2.350708,0.537843,r,3.9,0.33,0.87,0.1,0.2230769230769231,4.482758620689655,21.69,0.25,-0.015,17.58,0.08,SD,23895.0,SDSSJ000924.18+003216.2,NED,thick_like,SDSSJ000924.18+003216.2,SDSSJ000924.18+003216.2,,2.350708,0.537843,SDSSJ000924.18+003216.2,,NED,,False,unmatched,,,
EON_2.352_-1.751,PGC90457,PGC90457,2.351928,-1.751413,r,8.45,0.14,1.41,0.13,0.1668639053254438,5.99290780141844,22.49,0.13,-0.084,15.99,0.09,SB,21518.0,PGC090457,NED,intermediate,PGC90457,PGC90457,PGC90457,2.351928,-1.751413,PGC090457,PGC90457,NED,,False,unmatched,,,
EON_2.475_28.550,PGC90459,PGC90459,2.474841,28.549753,r,7.98,0.88,1.78,0.2,0.2230576441102756,4.48314606741573,22.33,0.13,-0.1,15.44,0.3,SB,,PGC090459,NED,thick_like,PGC90459,PGC90459,PGC90459,2.474841,28.549753,PGC090459,PGC90459,NED,,False,unmatched,,,
EON_2.609_28.988,UGC00095,UGC00095,2.609454,28.988247,r,14.16,0.54,3.2,0.24,0.2259887005649717,4.425,22.51,0.16,-0.155,14.77,0.11,SB,7842.0,UGC00095,NED,thick_like,UGC00095,UGC00095,UGC95,2.609454,28.988247,UGC00095,UGC95,NED,,False,unmatched,,,
EON_2.669_15.072,2MASXJ00104055+1504181,,2.669025,15.07164,r,6.32,0.7,1.01,0.09,0.1598101265822784,6.257425742574258,22.16,0.32,0.04,16.95,0.08,SD,,2MASXJ00104055+1504181,NED,intermediate,2MASXJ00104055+1504181,2MASXJ00104055+1504181,,2.669025,15.07164,2MASXJ00104055+1504181,,NED,,False,unmatched,,,
EON_2.694_-0.892,PGC90460,PGC90460,2.694386,-0.892352,r,13.82,0.69,1.01,0.12,0.0730824891461649,13.683168316831685,23.32,0.2,-0.211,16.89,0.05,SD,11496.0,PGC090460,NED,thin_like,PGC90460,PGC90460,PGC90460,2.694386,-0.892352,PGC090460,PGC90460,NED,,False,unmatched,,,
EON_2.781_33.903,PGC90461,PGC90461,2.781433,33.90324,r,5.74,0.1,1.58,0.15,0.2752613240418118,3.632911392405063,21.38,0.2,0.079,15.89,0.11,SB,,PGC090461,NED,thick_like,PGC90461,PGC90461,PGC90461,2.781433,33.90324,PGC090461,PGC90461,NED,,False,unmatched,,,
EON_3.016_1.105,PGC1184724,PGC1184724,3.016386,1.105347,r,3.56,0.09,1.09,0.11,0.3061797752808989,3.26605504587156,21.95,0.25,-0.034,17.35,0.06,SD,25757.0,PGC1184724,NED,thick_like,PGC1184724,PGC1184724,PGC1184724,3.016386,1.105347,PGC1184724,PGC1184724,NED,,False,unmatched,,,
EON_3.198_0.523,PGC1168181,PGC1168181,3.198281,0.523035,r,5.2,0.57,1.26,0.13,0.2423076923076923,4.126984126984127,22.39,0.25,0.053,17.37,0.06,SC,14012.0,PGC1168181,NED,thick_like,PGC1168181,PGC1168181,PGC1168181,3.198281,0.523035,PGC1168181,PGC1168181,NED,,False,unmatched,,,
EON_3.421_5.978,NED,,3.420708,5.977557,r,8.8,0.16,1.69,0.19,0.1920454545454545,5.207100591715977,22.48,0.2,-0.133,15.8,0.06,SB,,,NED,intermediate,NED,NED,,3.420708,5.977557,,,NED,,False,unmatched,,,
EON_3.459_-9.982,NED,,3.458802,-9.982133,r,3.14,0.05,0.78,0.15,0.2484076433121019,4.0256410256410255,22.24,0.28,-0.125,18.02,0.05,SD,,,NED,thick_like,NED,NED,,3.458802,-9.982133,,,NED,,False,unmatched,,,
EON_3.564_1.928,PGC90466,PGC90466,3.564188,1.928268,r,8.41,0.27,2.06,0.23,0.2449464922711058,4.08252427184466,22.6,0.13,-0.108,15.95,0.18,SB,,PGC090466,NED,thick_like,PGC90466,PGC90466,PGC90466,3.564188,1.928268,PGC090466,PGC90466,NED,,False,unmatched,,,
EON_3.609_7.300,PGC90467,PGC90467,3.608825,7.300052,r,5.79,0.28,1.02,0.11,0.1761658031088083,5.676470588235294,22.17,0.19,0.032,16.78,0.05,SD,,PGC090467,NED,intermediate,PGC90467,PGC90467,PGC90467,3.608825,7.300052,PGC090467,PGC90467,NED,,False,unmatched,,,
EON_3.610_0.114,PGC1157455,PGC1157455,3.610015,0.11439,r,4.7,0.43,0.66,0.1,0.1404255319148936,7.121212121212121,21.62,0.3,-0.075,17.53,0.06,SD,16649.0,PGC1157455,NED,intermediate,PGC1157455,PGC1157455,PGC1157455,3.610015,0.11439,PGC1157455,PGC1157455,NED,,False,unmatched,,,
EON_3.667_18.582,NGC00052,NGC00052,3.666854,18.581877,r,15.68,0.33,6.99,1.13,0.4457908163265306,2.2432045779685263,20.62,0.21,0.215,12.78,0.14,SC,5408.0,NGC0052,NED,thick_like,NGC00052,NGC00052,NGC52,3.666854,18.581877,NGC0052,NGC52,NED,,False,unmatched,,,
EON_3.812_-8.801,PGC999009,PGC999009,3.812457,-8.801081,r,6.86,0.09,2.63,0.16,0.3833819241982507,2.608365019011407,22.12,0.12,0.073,16.25,0.06,SC,5493.0,PGC999009,NED,thick_like,PGC999009,PGC999009,PGC999009,3.812457,-8.801081,PGC999009,PGC999009,NED,,False,unmatched,,,
EON_3.981_16.004,PGC90468,PGC90468,3.980848,16.003706,r,8.97,0.11,2.0,0.18,0.2229654403567446,4.485,22.28,0.15,0.07,15.88,0.07,SD,8362.0,PGC090468,NED,thick_like,PGC90468,PGC90468,PGC90468,3.980848,16.003706,PGC090468,PGC90468,NED,,False,unmatched,,,
EON_4.050_14.617,SDSSJ001612.05+143659.7,,4.050224,14.616557,r,4.1,0.5,0.83,0.06,0.2024390243902439,4.9397590361445785,21.77,0.31,-0.052,17.53,0.07,SD,25868.0,SDSSJ001612.05+143659.7,NED,thick_like,SDSSJ001612.05+143659.7,SDSSJ001612.05+143659.7,,4.050224,14.616557,SDSSJ001612.05+143659.7,,NED,,False,unmatched,,,
EON_4.156_6.767,PGC1307089,PGC1307089,4.156056,6.767066,r,5.49,0.11,1.41,0.12,0.2568306010928961,3.893617021276596,22.01,0.15,-0.139,16.66,0.06,SD,,PGC1307089,NED,thick_like,PGC1307089,PGC1307089,PGC1307089,4.156056,6.767066,PGC1307089,PGC1307089,NED,,False,unmatched,,,
EON_4.161_7.115,PGC212496,PGC212496,4.161357,7.114754,r,3.81,0.11,1.77,0.14,0.4645669291338583,2.152542372881356,19.96,0.16,0.115,15.08,0.35,SA,,PGC212496,NED,thick_like,PGC212496,PGC212496,PGC212496,4.161357,7.114754,PGC212496,PGC212496,NED,,False,unmatched,,,
EON_4.275_1.257,PGC1189342,PGC1189342,4.275275,1.257441,r,3.67,0.02,1.75,0.15,0.4768392370572207,2.097142857142857,21.23,0.1,0.098,16.53,0.12,SC,,PGC1189342,NED,thick_like,PGC1189342,PGC1189342,PGC1189342,4.275275,1.257441,PGC1189342,PGC1189342,NED,,False,unmatched,,,
EON_4.365_-9.574,PGC1141,PGC1141,4.364594,-9.57382,r,6.55,0.64,1.64,0.09,0.250381679389313,3.9939024390243913,20.76,0.23,0.184,15.02,0.13,SB,6792.0,PGC001141,NED,thick_like,PGC1141,PGC1141,PGC1141,4.364594,-9.57382,PGC001141,PGC1141,NED,,False,unmatched,,,
EON_4.774_26.626,PGC90470,PGC90470,4.773863,26.625856,r,10.04,0.3,2.1,0.21,0.2091633466135458,4.78095238095238,22.77,0.11,-0.013,16.1,0.04,SD,11650.0,PGC090470,NED,thick_like,PGC90470,PGC90470,PGC90470,4.773863,26.625856,PGC090470,PGC90470,NED,,False,unmatched,,,
EON_4.936_15.858,2MASXJ00194467+1551308,,4.936191,15.858472,r,6.21,0.08,1.16,0.09,0.1867954911433172,5.353448275862069,22.35,0.24,-0.109,16.74,0.1,SB,12194.0,2MASXJ00194467+1551308,NED,intermediate,2MASXJ00194467+1551308,2MASXJ00194467+1551308,,4.936191,15.858472,2MASXJ00194467+1551308,,NED,,False,unmatched,,,
EON_5.246_6.365,PGC1299296,PGC1299296,5.245854,6.364702,r,4.2,0.28,2.21,0.3,0.5261904761904762,1.900452488687783,21.89,0.21,0.002,16.46,0.19,SC,,PGC1299296,NED,thick_like,PGC1299296,PGC1299296,PGC1299296,5.245854,6.364702,PGC1299296,PGC1299296,NED,,False,unmatched,,,
EON_5.363_-4.231,PGC1368,PGC1368,5.362609,-4.231283,r,12.91,0.54,3.44,0.53,0.2664601084430674,3.7529069767441854,22.51,0.31,0.208,15.0,0.19,SB,19265.0,PGC001368,NED,thick_like,PGC1368,PGC1368,PGC1368,5.362609,-4.231283,PGC001368,PGC1368,NED,,False,unmatched,,,
EON_5.535_10.379,PGC90472,PGC90472,5.535238,10.379254,r,9.22,0.46,1.56,0.13,0.1691973969631236,5.910256410256411,22.41,0.16,-0.08,16.23,0.04,SD,5446.0,PGC090472,NED,intermediate,PGC90472,PGC90472,PGC90472,5.535238,10.379254,PGC090472,PGC90472,NED,,False,unmatched,,,
EON_5.544_-16.700,PGC894817,PGC894817,5.544475,-16.699507,r,4.84,0.12,1.34,0.1,0.2768595041322314,3.6119402985074633,21.83,0.1,0.034,16.72,0.08,SC,,PGC894817,NED,thick_like,PGC894817,PGC894817,PGC894817,5.544475,-16.699507,PGC894817,PGC894817,NED,,False,unmatched,,,
EON_5.560_8.423,2MASXJ00221442+0825197,,5.560495,8.422548,r,5.34,0.36,0.85,0.09,0.1591760299625468,6.282352941176471,22.53,0.32,-0.129,17.2,0.05,SD,,2MASXJ00221442+0825197,NED,intermediate,2MASXJ00221442+0825197,2MASXJ00221442+0825197,,5.560495,8.422548,2MASXJ00221442+0825197,,NED,,False,unmatched,,,
EON_5.563_20.608,UGC00211,UGC00211,5.563128,20.608295,r,8.19,0.08,2.66,0.34,0.3247863247863248,3.078947368421052,22.15,0.13,0.125,15.79,0.06,SC,5638.0,UGC00211,NED,thick_like,UGC00211,UGC00211,UGC211,5.563128,20.608295,UGC00211,UGC211,NED,,False,unmatched,,,
EON_5.583_0.009,PGC1154760,PGC1154760,5.58274,0.009102,r,8.13,0.68,1.19,0.17,0.1463714637146371,6.831932773109244,22.47,0.2,-0.197,16.44,0.1,SB,12840.0,PGC1154760,NED,intermediate,PGC1154760,PGC1154760,PGC1154760,5.58274,0.009102,PGC1154760,PGC1154760,NED,,False,unmatched,,,
EON_5.618_-10.699,PGC90473,PGC90473,5.617809,-10.698508,r,6.28,0.49,1.22,0.11,0.1942675159235668,5.147540983606557,21.81,0.21,0.083,16.6,0.06,SD,,PGC090473,NED,intermediate,PGC90473,PGC90473,PGC90473,5.617809,-10.698508,PGC090473,PGC90473,NED,,False,unmatched,,,
EON_5.686_14.950,PGC1471258,PGC1471258,5.685671,14.949582,r,5.22,0.1,3.5,0.24,0.6704980842911877,1.491428571428571,20.95,0.08,-0.002,15.11,0.17,SC,7550.0,PGC1471258,NED,thick_like,PGC1471258,PGC1471258,PGC1471258,5.685671,14.949582,PGC1471258,PGC1471258,NED,,False,unmatched,,,
EON_5.803_-8.946,PGC997209,PGC997209,5.8027,-8.945599,r,3.76,0.14,1.48,0.09,0.3936170212765957,2.5405405405405403,20.91,0.1,-0.009,16.44,0.09,SC,13568.0,PGC997209,NED,thick_like,PGC997209,PGC997209,PGC997209,5.8027,-8.945599,PGC997209,PGC997209,NED,,False,unmatched,,,
EON_6.305_13.538,PGC90476,PGC90476,6.305318,13.538459,r,12.61,0.23,1.33,0.16,0.1054718477398889,9.481203007518795,23.26,0.22,-0.219,16.63,0.05,SB,,PGC090476,NED,intermediate,PGC90476,PGC90476,PGC90476,6.305318,13.538459,PGC090476,PGC90476,NED,,False,unmatched,,,
EON_6.449_-2.285,PGC1609,PGC1609,6.448764,-2.284876,r,29.15,0.65,4.73,0.21,0.1622641509433962,6.162790697674418,22.25,0.07,0.003,13.61,0.09,SD,5331.0,PGC001609,NED,intermediate,PGC1609,PGC1609,PGC1609,6.448764,-2.284876,PGC001609,PGC1609,NED,,False,unmatched,,,
EON_6.589_0.154,PGC172049,PGC172049,6.588714,0.154153,r,5.22,0.04,2.16,0.35,0.4137931034482759,2.4166666666666665,21.27,0.2,0.274,15.49,0.38,SA,17911.0,PGC172049,NED,thick_like,PGC172049,PGC172049,PGC172049,6.588714,0.154153,PGC172049,PGC172049,NED,,False,unmatched,,,
EON_6.794_-10.322,PGC90478,PGC90478,6.79393,-10.322334,r,13.46,0.77,1.96,0.14,0.1456166419019316,6.867346938775511,22.76,0.21,0.057,15.45,0.07,SB,14426.0,PGC090478,NED,intermediate,PGC90478,PGC90478,PGC90478,6.79393,-10.322334,PGC090478,PGC90478,NED,,False,unmatched,,,
EON_6.828_-14.502,PGC923806,PGC923806,6.827743,-14.501973,r,4.55,0.07,1.69,0.16,0.3714285714285714,2.692307692307692,21.99,0.12,0.099,16.82,0.08,SC,,PGC923806,NED,thick_like,PGC923806,PGC923806,PGC923806,6.827743,-14.501973,PGC923806,PGC923806,NED,,False,unmatched,,,
EON_6.868_23.756,NED,,6.867521,23.756132,r,4.89,0.96,1.09,0.11,0.2229038854805726,4.486238532110091,22.37,0.33,0.069,16.92,0.07,SC,,,NED,thick_like,NED,NED,,6.867521,23.756132,,,NED,,False,unmatched,,,
EON_7.069_24.845,NED,,7.068677,24.844599,r,8.82,0.13,0.77,0.07,0.0873015873015873,11.454545454545457,22.72,0.27,-0.029,17.6,0.04,SD,,,NED,thin_like,NED,NED,,7.068677,24.844599,,,NED,,False,unmatched,,,
